Date,Open,High,Low,Close,Volume,Quarter_Sin,Quarter_Cos,Pct_Price,Pct_PriceN,GARCH_Sig,EMA_SHORT,EMA_LONG,DEMA_SHORT,DEMA_LONG,MACD_HIST,RSI,PLUS_DI,MINUS_DI,EPS,Pct_Surprise,Pct_EPS,Pct_EPS_YTY,PCT_REALGDP,INFLATION,FFR,T10Y2Y,Label
2014-12-26,83.6407,83.8011,83.2758,83.5151,1585238.674493,-1.0,0.0,0.0,0.9799938576572575,1.3015894026043495,83.03540418500707,82.11156092589917,83.58553018326624,83.33463724866104,-0.0817776501744607,53.23631502679143,11.394951565019323,26.85710997160547,0.87,11.5385,8.749999999999991,19.17808219178083,2.7,-0.803351756605549,0.12,1.52,0
2014-12-29,83.3895,84.1999,83.2569,83.4273,2497234.204261,-1.0,0.0,-0.10513068894127953,1.4301345880293193,1.2634514346953925,83.16603612333805,82.23686940914686,83.61987474773147,83.45683661458409,-0.05787921252081252,51.066638750276255,13.425344989028838,25.09211816070176,0.87,11.5385,8.749999999999991,19.17808219178083,2.7,-0.803351756605549,0.12,1.5,0
2014-12-30,83.1153,83.4951,82.3138,82.7535,2620349.6333269,-1.0,0.0,-0.8076492946553437,0.16170438356861716,1.2442626978556541,83.02852408222537,82.28607232256145,83.2394084710792,83.43436909676072,-0.09120943509155621,48.68022769884118,12.30564421905072,22.99938504673862,0.87,11.5385,8.749999999999991,19.17808219178083,2.7,-0.803351756605549,0.12,1.51,0
2014-12-31,82.9568,83.2917,81.9838,81.9838,3007474.7238172,-1.0,0.0,-0.930111717329174,-1.6739126523905634,1.261795739374667,82.6802827214836,82.2572844823175,82.58871140689162,83.27017351780088,-0.16457447705258765,46.020185204453256,11.16603599318472,20.86944467770488,0.87,11.5385,8.749999999999991,19.17808219178083,2.7,-0.803351756605549,0.12,1.5,0
2015-01-02,82.4673,83.1243,80.8015,81.5253,4736019.1999922,0.0,1.0,-0.5592568287881239,-2.382563153250139,1.2806720325918621,82.29528848098907,82.18757167447774,81.9775781109314,83.04092159472673,-0.23895149597126852,43.074172382776084,9.44846247743986,17.65928079424556,0.87,11.5385,8.749999999999991,19.17808219178083,3.6,-0.543199001688326,0.11,1.46,0
2015-01-05,81.1555,81.2133,79.0232,79.2346,6769467.6949261,0.0,1.0,-2.80980260115572,-5.125420432951655,1.2679964551911507,81.27505898732605,81.90633627690843,80.38309907817892,82.42396370219005,-0.4264459410603343,36.896693263387625,7.985944712945909,14.925818928736938,0.87,11.5385,8.749999999999991,19.17808219178083,3.6,-0.543199001688326,0.11,1.36,0
2015-01-06,79.6054,79.72,77.8329,79.062,8083352.6568233,0.0,1.0,-0.2178341280198337,-5.232459878241302,1.5087200621911023,80.53737265821736,81.63544710767906,79.45094183271348,81.85868648220251,-0.5388672784998203,35.65717393055664,7.073269681539758,13.220019208202384,0.87,11.5385,8.749999999999991,19.17808219178083,3.6,-0.543199001688326,0.11,1.32,0
2015-01-07,80.1765,80.35,79.1946,80.2902,6132827.4376667,0.0,1.0,1.5534643697351358,-2.9766716815603056,1.4021798132843535,80.45498177214492,81.50732833551915,79.6757672977607,81.5933898328957,-0.5077169631911702,41.33094598627274,6.511858013050574,20.561987153612996,0.87,11.5385,8.749999999999991,19.17808219178083,3.6,-0.543199001688326,0.11,1.34,0
2015-01-08,81.2163,81.625,81.0647,81.5392,5427328.0485202,0.0,1.0,1.5556070354787899,-0.5423022597147331,1.4016150026054472,80.81638784809661,81.51036373213637,80.53784891580825,81.59097520765454,-0.38572707131995576,45.16930811904019,5.969180348335479,30.524189520742322,0.87,11.5385,8.749999999999991,19.17808219178083,3.6,-0.543199001688326,0.11,1.41,0
2015-01-09,81.961,81.9888,80.4647,80.5025,4806409.1366992,0.0,1.0,-1.2714130136179835,-1.2545798666180996,1.4012940229673574,80.71175856539774,81.41437671002814,80.45631308873959,81.40046550120856,-0.3581844885929232,46.04106560574898,7.672667222620746,27.619402696187173,0.87,11.5385,8.749999999999991,19.17808219178083,3.6,-0.543199001688326,0.11,1.39,0
