Date,Open,High,Low,Close
2013-01-02,0.2468,0.2667,0.245,0.2549
2013-01-03,0.255,0.2669,0.2511,0.2669
2013-01-04,0.2629,0.2952,0.2595,0.2635
2013-01-07,0.2675,0.2677,0.2635,0.2637
2013-01-08,0.2637,0.2639,0.252,0.252
2013-01-09,0.2559,0.2559,0.2402,0.2402
2013-01-10,0.2402,0.2483,0.2364,0.2483
2013-01-11,0.2503,0.2569,0.2409,0.2489
2013-01-14,0.245,0.249,0.241,0.245
2013-01-15,0.249,0.2492,0.2412,0.2452
2013-01-16,0.2452,0.2494,0.2413,0.2413
2013-01-17,0.2413,0.2616,0.2413,0.2616
2013-01-18,0.2616,0.2705,0.2503,0.2503
2013-01-22,0.2503,0.2586,0.2383,0.2423
2013-01-23,0.2423,0.2464,0.2344,0.2344
2013-01-24,0.2344,0.2427,0.2324,0.2386
2013-01-25,0.2427,0.2758,0.2427,0.2718
2013-01-28,0.2758,0.2883,0.2718,0.274
2013-01-29,0.2794,0.2892,0.2735,0.2774
2013-01-30,0.2774,0.2814,0.2657,0.2657
2013-01-31,0.2657,0.2657,0.2578,0.2618
2013-02-01,0.2637,0.2736,0.2421,0.2618
2013-02-04,0.2599,0.2658,0.2461,0.25
2013-02-05,0.25,0.2619,0.25,0.254
2013-02-06,0.254,0.2559,0.246,0.246
2013-02-07,0.2441,0.2579,0.2381,0.25
2013-02-08,0.25,0.254,0.246,0.25
2013-02-11,0.248,0.258,0.246,0.254
2013-02-12,0.254,0.266,0.254,0.262
2013-02-13,0.262,0.278,0.262,0.274
2013-02-14,0.276,0.278,0.262,0.262
2013-02-15,0.264,0.2701,0.262,0.2661
2013-02-19,0.2661,0.2742,0.2661,0.2701
2013-02-20,0.2701,0.2742,0.2581,0.2581
2013-02-21,0.2581,0.2581,0.2419,0.25
2013-02-22,0.254,0.2541,0.2459,0.248
2013-02-25,0.25,0.2541,0.2378,0.2378
2013-02-26,0.2461,0.2461,0.2382,0.2422
2013-02-27,0.2422,0.2441,0.2382,0.2422
2013-02-28,0.2402,0.2441,0.2343,0.2343
2013-03-01,0.2343,0.2382,0.2303,0.2342
2013-03-04,0.2323,0.2342,0.2303,0.2342
2013-03-05,0.2342,0.2421,0.2342,0.2381
2013-03-06,0.2362,0.246,0.2342,0.246
2013-03-07,0.246,0.254,0.2421,0.25
2013-03-08,0.248,0.2659,0.248,0.25
2013-03-11,0.25,0.254,0.25,0.254
2013-03-12,0.254,0.254,0.25,0.254
2013-03-13,0.258,0.262,0.254,0.258
2013-03-14,0.258,0.27,0.258,0.262
2013-03-15,0.262,0.262,0.25,0.25
2013-03-18,0.2379,0.25,0.2379,0.242
2013-03-19,0.242,0.246,0.2299,0.2379
2013-03-20,0.2359,0.246,0.2359,0.246
2013-03-21,0.246,0.246,0.2419,0.246
2013-03-22,0.2439,0.25,0.2378,0.25
2013-03-25,0.2541,0.2581,0.2419,0.2419
2013-03-26,0.2459,0.25,0.2419,0.2459
2013-03-27,0.252,0.2539,0.2422,0.2422
2013-03-28,0.2422,0.2461,0.2382,0.2422
2013-03-29,0.2422,0.2422,0.2421,0.2421
2013-04-01,0.2461,0.25,0.2382,0.2382
2013-04-02,0.2382,0.2461,0.2382,0.2382
2013-04-03,0.2382,0.2421,0.2264,0.2264
2013-04-04,0.2264,0.2342,0.2184,0.2263
2013-04-05,0.2244,0.2302,0.2144,0.2282
2013-04-08,0.2262,0.2302,0.2262,0.2302
2013-04-09,0.2302,0.2341,0.2262,0.2301
2013-04-10,0.2301,0.2301,0.2261,0.2301
2013-04-11,0.2281,0.2301,0.2261,0.2301
2013-04-12,0.2281,0.2301,0.222,0.226
2013-04-15,0.226,0.232,0.218,0.218
2013-04-16,0.22,0.2259,0.2179,0.2259
2013-04-17,0.2259,0.2259,0.2219,0.2259
2013-04-18,0.2259,0.2299,0.2218,0.2259
2013-04-19,0.2259,0.2298,0.2217,0.2298
2013-04-22,0.2278,0.2338,0.2217,0.2217
2013-04-23,0.2217,0.2257,0.2176,0.2257
2013-04-24,0.2249,0.2308,0.2229,0.2269
2013-04-25,0.2269,0.2308,0.2229,0.2249
2013-04-26,0.221,0.2249,0.2112,0.2112
2013-04-29,0.2308,0.2308,0.2072,0.2072
2013-04-30,0.2072,0.2074,0.2034,0.2074
2013-05-01,0.2074,0.2074,0.1996,0.1996
2013-05-02,0.1996,0.2036,0.1958,0.1958
2013-05-03,0.1961,0.2158,0.1921,0.2158
2013-05-06,0.214,0.2159,0.212,0.212
2013-05-07,0.212,0.22,0.21,0.22
2013-05-08,0.224,0.2241,0.22,0.2202
2013-05-09,0.2202,0.2223,0.2163,0.2203
2013-05-10,0.2203,0.2407,0.2203,0.2367
2013-05-13,0.2407,0.2408,0.2368,0.2368
2013-05-14,0.2368,0.249,0.233,0.245
2013-05-15,0.247,0.2512,0.2331,0.2371
2013-05-16,0.2371,0.2393,0.2252,0.2293
2013-05-17,0.2293,0.2418,0.2293,0.2418
2013-05-20,0.2418,0.246,0.2339,0.2379
2013-05-21,0.2379,0.2421,0.234,0.234
2013-05-22,0.234,0.2463,0.2261,0.2463
2013-05-23,0.2463,0.2544,0.2384,0.2465
2013-05-24,0.2465,0.2553,0.2431,0.2472
2013-05-28,0.2472,0.2923,0.2472,0.2882
2013-05-29,0.3029,0.3088,0.2892,0.2931
2013-05-30,0.2931,0.301,0.2853,0.2931
2013-05-31,0.2912,0.3091,0.2854,0.2933
2013-06-03,0.2972,0.3013,0.2815,0.2914
2013-06-04,0.2934,0.2974,0.2894,0.2974
2013-06-05,0.2974,0.2974,0.2816,0.2856
2013-06-06,0.2856,0.2896,0.2777,0.2876
2013-06-07,0.2896,0.3096,0.2818,0.3017
2013-06-10,0.3037,0.3177,0.3017,0.3097
2013-06-11,0.3117,0.3377,0.3057,0.3218
2013-06-12,0.3218,0.3259,0.3139,0.3259
2013-06-13,0.3239,0.326,0.282,0.282
2013-06-14,0.282,0.2861,0.266,0.2701
2013-06-17,0.2761,0.2781,0.254,0.262
2013-06-18,0.262,0.2741,0.258,0.2621
2013-06-19,0.2601,0.3105,0.25,0.3064
2013-06-20,0.3145,0.3409,0.3065,0.3267
2013-06-21,0.3227,0.3717,0.3189,0.3676
2013-06-24,0.3676,0.4289,0.3676,0.3841
2013-06-25,0.38,0.4087,0.3639,0.4047
2013-06-26,0.4301,0.4301,0.3789,0.3789
2013-06-27,0.3809,0.3829,0.3514,0.3514
2013-06-28,0.3514,0.3789,0.3396,0.3554
2013-07-01,0.3554,0.3671,0.3435,0.3514
2013-07-02,0.3534,0.3553,0.3395,0.3474
2013-07-03,0.3455,0.3631,0.3316,0.3631
2013-07-05,0.3631,0.4028,0.3472,0.3948
2013-07-08,0.3948,0.4028,0.3591,0.3591
2013-07-09,0.3631,0.371,0.3551,0.367
2013-07-10,0.367,0.373,0.3511,0.3511
2013-07-11,0.3272,0.3431,0.3252,0.3291
2013-07-12,0.3272,0.347,0.311,0.339
2013-07-15,0.3409,0.3549,0.3229,0.3269
2013-07-16,0.3269,0.3308,0.3188,0.3228
2013-07-17,0.3228,0.3228,0.2906,0.2986
2013-07-18,0.2986,0.3106,0.2905,0.3025
2013-07-19,0.3025,0.3103,0.2942,0.2982
2013-07-22,0.2922,0.3021,0.2861,0.3021
2013-07-23,0.2981,0.3142,0.2981,0.3061
2013-07-24,0.3245,0.354,0.3226,0.3481
2013-07-25,0.3442,0.3481,0.3206,0.3206
2013-07-26,0.3206,0.3245,0.3088,0.3127
2013-07-29,0.3088,0.3167,0.3049,0.3167
2013-07-30,0.3147,0.3167,0.3088,0.3127
2013-07-31,0.3088,0.3364,0.305,0.3089
2013-08-01,0.3089,0.3287,0.3031,0.3247
2013-08-02,0.3208,0.3448,0.2934,0.2974
2013-08-05,0.2934,0.3093,0.2934,0.3014
2013-08-06,0.3014,0.3094,0.2974,0.3054
2013-08-07,0.3034,0.3055,0.2976,0.3015
2013-08-08,0.3015,0.3056,0.2976,0.3016
2013-08-09,0.3016,0.3058,0.2978,0.3018
2013-08-12,0.3038,0.3059,0.2979,0.3059
2013-08-13,0.3079,0.334,0.3059,0.33
2013-08-14,0.33,0.3321,0.3221,0.3261
2013-08-15,0.3241,0.3563,0.3221,0.3462
2013-08-16,0.3422,0.3507,0.3386,0.3386
2013-08-19,0.3426,0.3548,0.3426,0.3508
2013-08-20,0.3488,0.3488,0.3348,0.3388
2013-08-21,0.3408,0.3673,0.3388,0.3673
2013-08-22,0.3673,0.3918,0.3673,0.3877
2013-08-23,0.3877,0.4046,0.3679,0.3761
2013-08-26,0.372,0.3844,0.364,0.364
2013-08-27,0.3661,0.3724,0.3519,0.356
2013-08-28,0.377,0.3987,0.375,0.3947
2013-08-29,0.3947,0.4065,0.3908,0.3947
2013-08-30,0.3967,0.3987,0.3809,0.3987
2013-09-03,0.3987,0.4303,0.3987,0.4145
2013-09-04,0.4105,0.47,0.4086,0.47
2013-09-05,0.4719,0.5217,0.466,0.5177
2013-09-06,0.5137,0.5336,0.4346,0.4545
2013-09-09,0.4565,0.4625,0.4307,0.4427
2013-09-10,0.4447,0.4707,0.4407,0.4707
2013-09-11,0.4687,0.4707,0.4429,0.4429
2013-09-12,0.4429,0.445,0.427,0.443
2013-09-13,0.443,0.4634,0.4292,0.4312
2013-09-16,0.4373,0.4373,0.3469,0.387
2013-09-17,0.3891,0.3911,0.371,0.371
2013-09-18,0.369,0.3911,0.3186,0.3206
2013-09-19,0.3206,0.3387,0.3064,0.3347
2013-09-20,0.3347,0.3426,0.3223,0.3304
2013-09-23,0.3283,0.3466,0.3263,0.3304
2013-09-24,0.3304,0.3344,0.3222,0.3262
2013-09-25,0.3461,0.352,0.3363,0.3402
2013-09-26,0.3402,0.3481,0.3363,0.3402
2013-09-27,0.3383,0.3402,0.3284,0.3324
2013-09-30,0.3206,0.3364,0.3167,0.3168
2013-10-01,0.3148,0.3326,0.3148,0.3287
2013-10-02,0.3326,0.3327,0.3071,0.3169
2013-10-03,0.315,0.3249,0.3091,0.3091
2013-10-04,0.3131,0.3292,0.3091,0.3292
2013-10-07,0.3213,0.3412,0.3213,0.3412
2013-10-08,0.3373,0.3871,0.3373,0.3811
2013-10-09,0.3612,0.3733,0.3574,0.3574
2013-10-10,0.3614,0.3674,0.3376,0.3416
2013-10-11,0.3456,0.3501,0.3341,0.3501
2013-10-15,0.3501,0.3543,0.3422,0.3543
2013-10-16,0.3543,0.3645,0.3263,0.3303
2013-10-17,0.3263,0.3263,0.3083,0.3103
2013-10-18,0.3103,0.3146,0.3025,0.3106
2013-10-21,0.3126,0.3147,0.3066,0.3106
2013-10-22,0.3147,0.3148,0.2905,0.2905
2013-10-23,0.2905,0.3108,0.2865,0.3068
2013-10-24,0.3108,0.3109,0.3028,0.3028
2013-10-25,0.3028,0.3071,0.2989,0.2989
2013-10-28,0.303,0.3072,0.299,0.3031
2013-10-29,0.3167,0.3206,0.3127,0.3127
2013-10-30,0.3127,0.3127,0.301,0.3127
2013-10-31,0.3127,0.3128,0.301,0.305
2013-11-01,0.305,0.3091,0.301,0.3091
2013-11-04,0.3092,0.3092,0.3013,0.3013
2013-11-05,0.2974,0.3093,0.2974,0.3014
2013-11-06,0.2974,0.2975,0.2856,0.2896
2013-11-07,0.2896,0.2936,0.2658,0.2817
2013-11-08,0.2797,0.3158,0.2797,0.3098
2013-11-12,0.3098,0.3259,0.3098,0.3259
2013-11-13,0.3259,0.3259,0.294,0.298
2013-11-14,0.298,0.302,0.286,0.29
2013-11-15,0.286,0.2942,0.286,0.2902
2013-11-18,0.2902,0.2903,0.2782,0.2782
2013-11-19,0.2802,0.2903,0.2782,0.2863
2013-11-20,0.2863,0.2904,0.2581,0.2742
2013-11-21,0.2783,0.2783,0.2621,0.2702
2013-11-22,0.2702,0.2825,0.2702,0.2784
2013-11-25,0.2804,0.2825,0.2785,0.2785
2013-11-26,0.2932,0.2972,0.2893,0.2893
2013-11-27,0.2873,0.2893,0.2814,0.2854
2013-11-29,0.2854,0.2932,0.2775,0.2814
2013-12-02,0.2814,0.2933,0.2795,0.2854
2013-12-03,0.2854,0.2855,0.2776,0.2855
2013-12-04,0.2835,0.3013,0.2835,0.2895
2013-12-05,0.2895,0.3014,0.2895,0.3014
2013-12-06,0.2994,0.3155,0.2917,0.3016
2013-12-09,0.3016,0.3017,0.2897,0.2977
2013-12-10,0.2977,0.3017,0.2938,0.2978
2013-12-11,0.2998,0.3058,0.2978,0.3058
2013-12-12,0.3058,0.3379,0.3058,0.3219
2013-12-13,0.3219,0.3342,0.3219,0.3242
2013-12-16,0.3322,0.3322,0.3223,0.3303
2013-12-17,0.3303,0.3304,0.3143,0.3184
2013-12-18,0.3363,0.3599,0.3167,0.3324
2013-12-19,0.3324,0.3717,0.3324,0.3638
2013-12-20,0.3677,0.3952,0.3638,0.3756
2013-12-23,0.3736,0.3913,0.3736,0.3834
2013-12-24,0.3795,0.3992,0.3795,0.3952
2013-12-26,0.3952,0.411,0.3776,0.407
2013-12-27,0.4031,0.407,0.3874,0.3874
2013-12-30,0.3874,0.3913,0.3756,0.3795
2013-12-31,0.3838,0.3838,0.3759,0.3799
2014-01-02,0.3799,0.4077,0.3761,0.3801
2014-01-03,0.3905,0.4004,0.3846,0.3965
2014-01-06,0.4004,0.4004,0.3887,0.3927
2014-01-07,0.3887,0.3929,0.3849,0.3909
2014-01-08,0.3929,0.4289,0.3889,0.425
2014-01-09,0.419,0.4332,0.4172,0.4292
2014-01-10,0.4252,0.4292,0.3699,0.3699
2014-01-13,0.368,0.374,0.354,0.356
2014-01-14,0.356,0.3822,0.356,0.3782
2014-01-15,0.3782,0.3945,0.3744,0.3905
2014-01-16,0.3905,0.3907,0.3746,0.3826
2014-01-17,0.3826,0.3874,0.3712,0.3712
2014-01-21,0.3712,0.3836,0.3692,0.3755
2014-01-22,0.3775,0.4,0.3775,0.4
2014-01-23,0.3959,0.3961,0.3474,0.3596
2014-01-24,0.3555,0.3636,0.307,0.3355
2014-01-27,0.3355,0.3561,0.3335,0.3398
2014-01-28,0.3479,0.3562,0.3399,0.3399
2014-01-29,0.3828,0.3868,0.3181,0.3515
2014-01-30,0.3554,0.3632,0.3436,0.3436
2014-01-31,0.3436,0.3436,0.3238,0.3277
2014-02-03,0.3317,0.3375,0.2922,0.2942
2014-02-04,0.2961,0.3118,0.296,0.3118
2014-02-05,0.3118,0.3157,0.292,0.3117
2014-02-06,0.3078,0.3235,0.3038,0.3196
2014-02-07,0.3196,0.3273,0.2935,0.3034
2014-02-10,0.3034,0.3113,0.2994,0.3073
2014-02-11,0.3072,0.3311,0.3052,0.3311
2014-02-12,0.3271,0.343,0.3271,0.339
2014-02-13,0.339,0.339,0.307,0.311
2014-02-14,0.315,0.3187,0.3066,0.3107
2014-02-18,0.3107,0.3147,0.2945,0.2985
2014-02-19,0.2985,0.3185,0.2903,0.3145
2014-02-20,0.3145,0.3265,0.3023,0.3185
2014-02-21,0.3144,0.3263,0.3101,0.3142
2014-02-24,0.3142,0.3262,0.31,0.3181
2014-02-25,0.3181,0.3222,0.3099,0.314
2014-02-26,0.3402,0.3442,0.3245,0.3245
2014-02-27,0.3226,0.3245,0.3127,0.3206
2014-02-28,0.3206,0.3406,0.3169,0.3169
2014-03-03,0.3012,0.317,0.2972,0.3012
2014-03-04,0.3032,0.3329,0.3012,0.3329
2014-03-05,0.331,0.341,0.325,0.333
2014-03-06,0.3271,0.349,0.3271,0.3411
2014-03-07,0.3411,0.3813,0.3371,0.3693
2014-03-10,0.3695,0.3775,0.3615,0.3655
2014-03-11,0.3675,0.3777,0.3657,0.3697
2014-03-12,0.3657,0.3698,0.3538,0.3618
2014-03-13,0.3658,0.386,0.33,0.338
2014-03-14,0.338,0.3464,0.3182,0.3424
2014-03-17,0.3383,0.3626,0.3383,0.3586
2014-03-18,0.3546,0.3587,0.3426,0.3466
2014-03-19,0.3426,0.4438,0.3387,0.4195
2014-03-20,0.4235,0.44,0.4116,0.4197
2014-03-21,0.4205,0.4408,0.4164,0.4245
2014-03-24,0.4367,0.4614,0.4329,0.4329
2014-03-25,0.4329,0.4372,0.4169,0.425
2014-03-26,0.4654,0.4732,0.4339,0.4418
2014-03-27,0.4378,0.4614,0.4378,0.4457
2014-03-28,0.4457,0.4536,0.4418,0.4496
2014-03-31,0.4575,0.4616,0.4183,0.4183
2014-04-01,0.4242,0.438,0.4223,0.4301
2014-04-02,0.4301,0.4578,0.4301,0.4539
2014-04-03,0.4539,0.454,0.4421,0.454
2014-04-04,0.454,0.4662,0.4067,0.4107
2014-04-07,0.4107,0.4147,0.3909,0.3948
2014-04-08,0.3968,0.4068,0.3948,0.3949
2014-04-09,0.3949,0.4108,0.3591,0.3631
2014-04-10,0.3631,0.367,0.3431,0.3511
2014-04-11,0.3471,0.359,0.339,0.355
2014-04-14,0.347,0.371,0.347,0.367
2014-04-15,0.363,0.383,0.3589,0.367
2014-04-16,0.365,0.379,0.3629,0.367
2014-04-17,0.367,0.3952,0.3629,0.3952
2014-04-21,0.3952,0.4074,0.3871,0.3912
2014-04-22,0.3912,0.4074,0.3871,0.3993
2014-04-23,0.4398,0.4418,0.43,0.4418
2014-04-24,0.4418,0.4536,0.4339,0.4378
2014-04-25,0.4378,0.4378,0.4221,0.43
2014-04-28,0.4319,0.4378,0.4221,0.4319
2014-04-29,0.4261,0.4457,0.4261,0.4378
2014-04-30,0.4359,0.4399,0.4104,0.4104
2014-05-01,0.4104,0.4183,0.4026,0.4065
2014-05-02,0.4065,0.4719,0.4027,0.4224
2014-05-05,0.4205,0.4225,0.4067,0.4185
2014-05-06,0.4166,0.4265,0.4146,0.4226
2014-05-07,0.4226,0.4266,0.3948,0.3988
2014-05-08,0.3988,0.4068,0.3829,0.3869
2014-05-09,0.3869,0.391,0.375,0.383
2014-05-12,0.383,0.399,0.383,0.395
2014-05-13,0.395,0.403,0.379,0.379
2014-05-14,0.379,0.379,0.351,0.367
2014-05-15,0.365,0.383,0.3469,0.3509
2014-05-16,0.3509,0.3629,0.3468,0.3589
2014-05-19,0.3609,0.3629,0.3347,0.3427
2014-05-20,0.3427,0.3468,0.3225,0.3346
2014-05-21,0.3306,0.3426,0.3305,0.3386
2014-05-22,0.3386,0.3507,0.3366,0.3426
2014-05-23,0.3446,0.3466,0.3343,0.3424
2014-05-27,0.3424,0.3546,0.3383,0.3444
2014-05-28,0.3789,0.3829,0.3632,0.3652
2014-05-29,0.3671,0.375,0.3553,0.375
2014-05-30,0.3711,0.3829,0.3632,0.373
2014-06-02,0.375,0.3986,0.375,0.3868
2014-06-03,0.3868,0.4026,0.3829,0.3987
2014-06-04,0.3947,0.4007,0.3829,0.3908
2014-06-05,0.3869,0.3968,0.377,0.379
2014-06-06,0.379,0.4028,0.3671,0.3988
2014-06-09,0.4028,0.4228,0.4028,0.4188
2014-06-10,0.4188,0.4388,0.4188,0.4388
2014-06-11,0.4388,0.4429,0.4229,0.4309
2014-06-12,0.4349,0.443,0.403,0.437
2014-06-13,0.443,0.4674,0.443,0.4493
2014-06-16,0.4593,0.4715,0.4513,0.4675
2014-06-17,0.4655,0.4858,0.4636,0.4797
2014-06-18,0.4838,0.488,0.4355,0.4435
2014-06-19,0.4395,0.4598,0.4275,0.4477
2014-06-20,0.4477,0.4723,0.4436,0.4561
2014-06-23,0.45,0.4643,0.45,0.4643
2014-06-24,0.4603,0.4726,0.4563,0.4563
2014-06-25,0.4862,0.4961,0.4666,0.4804
2014-06-26,0.4784,0.4882,0.4607,0.4627
2014-06-27,0.4607,0.4627,0.4509,0.4607
2014-06-30,0.4529,0.4646,0.4528,0.4567
2014-07-01,0.4567,0.4685,0.4567,0.4645
2014-07-02,0.4645,0.4882,0.4606,0.4803
2014-07-03,0.4803,0.5238,0.4802,0.5059
2014-07-07,0.5238,0.5278,0.5119,0.5119
