Date,Open,High,Low,Close,Volume
2013-01-02,46.179,46.592,46.036,46.455,12842372
2013-01-03,46.409,46.662,46.219,46.553,8323168
2013-01-04,46.709,47.582,46.662,47.446,9620440
2013-01-07,47.054,47.054,46.053,46.336,10419624
2013-01-08,46.255,46.526,45.974,46.147,9504146
2013-01-09,46.3,46.818,46.147,46.162,9227877
2013-01-10,46.245,46.582,45.991,46.171,8907616
2013-01-11,46.199,46.381,45.863,45.983,7863854
2013-01-14,45.818,46.209,45.619,45.991,10239637
2013-01-15,45.881,46.5,45.845,46.446,8029414
2013-01-16,46.199,47.073,46.179,46.845,8108987
2013-01-17,47.129,47.91,47.129,47.646,11145853
2013-01-18,47.5,47.582,47.101,47.582,9341164
2013-01-22,47.628,47.999,47.437,47.936,7298679
2013-01-23,48.055,49.237,47.982,49.045,15227020
2013-01-24,49.118,49.882,49.019,49.045,14968724
2013-01-25,48.909,49.602,48.735,49.437,8735781
2013-01-28,49.337,49.602,49.182,49.417,7847194
2013-01-29,49.228,49.281,48.662,49.084,8565217
2013-01-30,48.955,49.09,48.682,48.9,10803969
2013-01-31,48.946,49.319,48.773,48.982,8071215
2013-02-01,49.271,49.882,49.228,49.627,10509264
2013-02-04,49.237,49.544,48.909,49,8489198
2013-02-05,49.417,49.464,49.09,49.355,11231731
2013-02-06,50.364,50.455,49.464,49.563,29520481
2013-02-07,49.137,49.526,48.556,49.417,12896545
2013-02-08,49.437,49.746,49.374,49.69,10542623
2013-02-11,49.681,49.984,49.627,49.772,6994849
2013-02-12,49.82,50.046,49.719,49.956,9633807
2013-02-13,50.072,50.272,49.699,49.966,6271938
2013-02-14,49.927,50.155,49.736,49.89,9421244
2013-02-15,50.046,50.562,49.9,50.555,19561958
2013-02-19,50.527,50.863,50.517,50.663,8558590
2013-02-20,50.562,50.746,49.602,49.637,9307237
2013-02-21,49.618,49.836,49.099,49.244,7482819
2013-02-22,49.447,49.618,49.026,49.319,8365074
2013-02-25,49.637,49.811,48.718,48.718,10814530
2013-02-26,48.891,49.127,48.727,49,6862682
2013-02-27,49,49.69,48.955,49.526,7969474
2013-02-28,49.582,50.037,49.447,49.627,7267946
2013-03-01,49.374,50.337,49.364,50.301,9145806
2013-03-04,50.145,50.764,49.999,50.727,6993151
2013-03-05,50.863,51.438,50.819,51.345,7776644
2013-03-06,51.391,51.672,51.137,51.237,6129805
2013-03-07,51.237,51.336,50.918,51.199,5296154
2013-03-08,51.419,52.283,51.382,52.172,8974782
2013-03-11,52.172,52.5,52.129,52.417,7871055
2013-03-12,52.335,52.392,51.546,51.919,7875338
2013-03-13,52.018,52.219,51.765,52.129,5730767
2013-03-14,52.137,52.564,52.064,52.5,6507024
2013-03-15,52.273,52.527,52.129,52.345,15176053
2013-03-18,51.891,51.992,51.591,51.662,5639003
2013-03-19,51.662,51.865,50.692,51.19,9772522
2013-03-20,51.445,51.954,51.4,51.765,6620525
2013-03-21,51.583,51.68,51.054,51.19,5686039
2013-03-22,51.5,51.909,51.382,51.619,6050157
2013-03-25,51.818,51.919,50.792,51.101,8669620
2013-03-26,51.283,51.573,51.209,51.482,5143150
2013-03-27,51.218,51.364,50.9,51.336,7031535
2013-03-28,51.445,51.765,51.364,51.637,7376464
2013-04-01,51.719,51.945,51.044,51.536,7400930
2013-04-02,51.855,52.238,51.781,52.238,7232955
2013-04-03,52.4,52.5,51.818,52.044,8913913
2013-04-04,52.072,52.472,51.983,52.355,7055202
2013-04-05,51.709,52.482,51.247,52.456,7746406
2013-04-08,52.573,53.475,52.509,53.475,10775854
2013-04-09,53.38,53.855,53.201,53.763,9751390
2013-04-10,53.973,54.673,53.945,54.647,9282435
2013-04-11,54.647,55.155,54.564,55.046,10168849
2013-04-12,54.812,55.208,54.793,55.046,9387327
2013-04-15,54.783,55.155,53.493,53.527,13230669
2013-04-16,53.791,55.227,53.71,55.227,11340404
2013-04-17,54.82,55.174,54.564,55.164,12684835
2013-04-18,55.127,55.155,54.438,54.535,10123585
2013-04-19,54.773,55.964,54.773,55.964,10437073
2013-04-22,55.991,56.455,55.591,56.372,6938771
2013-04-23,56.728,56.927,55.946,56.899,6887657
2013-04-24,57.008,57.181,55.991,56.31,8069472
2013-04-25,56.372,56.517,55.955,56.362,7352360
2013-04-26,56.419,56.627,55.955,56.245,7742405
2013-04-29,57.127,57.5,56.899,57.272,7927309
2013-04-30,57.211,57.346,56.763,57.127,9382651
2013-05-01,57.163,57.728,57.092,57.465,8215795
2013-05-02,57.635,58.117,57.373,58.073,5774865
2013-05-03,58.345,58.954,58.073,58.911,10117793
2013-05-06,59.173,59.628,58.647,59.147,11267199
2013-05-07,59.491,60.082,58.882,60.063,15964528
2013-05-08,60,60,58.691,59.99,19586878
