Date,Open,High,Low,Close,Volume
2013-01-02,17.9855,18.175,17.914,18.081,101670720
2013-01-03,18.116,18.298,18.018,18.092,92725600
2013-01-04,18.2335,18.537,18.192,18.449,110542080
2013-01-07,18.386,18.4845,18.2645,18.369,66230680
2013-01-08,18.3885,18.4075,18.111,18.3325,67041480
2013-01-09,18.325,18.459,18.215,18.453,81026040
2013-01-10,18.571,18.625,18.3375,18.537,73431200
2013-01-11,18.55,18.561,18.4075,18.5,51405000
2013-01-14,18.426,18.555,18.059,18.081,114552240
2013-01-15,17.983,18.375,17.8025,18.123,157119600
2013-01-16,18.06,18.1085,17.842,17.88,80981560
2013-01-17,17.943,17.991,17.7755,17.783,88487760
2013-01-18,17.759,17.819,17.533,17.613,129075920
2013-01-22,17.6165,17.6335,17.388,17.572,151370520
2013-01-23,18.4,18.725,18.395,18.5375,236415800
2013-01-24,18.531,18.921,18.513,18.846,135331840
2013-01-25,18.769,18.962,18.756,18.842,89032440
2013-01-28,18.794,18.89,18.697,18.768,65085320
2013-01-29,18.669,18.924,18.6635,18.842,69893920
2013-01-30,18.8435,19.024,18.823,18.846,69318880
2013-01-31,18.763,18.9405,18.756,18.892,65373080
2013-02-01,18.955,19.415,18.9525,19.39,149842600
2013-02-04,19.192,19.262,18.957,18.9755,121645680
2013-02-05,19.028,19.278,18.987,19.1435,74828640
2013-02-06,18.977,19.324,18.9625,19.254,83155480
2013-02-07,19.2425,19.47,19.1375,19.349,113604240
2013-02-08,19.503,19.667,19.489,19.634,120894600
2013-02-11,19.46,19.575,19.344,19.5605,86702240
2013-02-12,19.529,19.6975,19.484,19.5175,74357800
2013-02-13,19.503,19.634,19.499,19.5715,47926800
2013-02-14,19.493,19.7185,19.444,19.6955,69408760
2013-02-15,19.685,19.8315,19.677,19.822,109188680
2013-02-19,19.9,20.175,19.882,20.171,117312960
2013-02-20,20.1325,20.224,19.795,19.8115,110582040
2013-02-21,19.95,20.136,19.7805,19.888,140317440
2013-02-22,19.9815,20.031,19.845,19.993,82162000
2013-02-25,20.0575,20.21,19.762,19.769,92271560
2013-02-26,19.875,19.899,19.61,19.753,88162760
2013-02-27,19.87,20.119,19.778,19.9945,81056040
2013-02-28,20.0275,20.175,20.026,20.03,90628960
2013-03-01,19.947,20.1785,19.904,20.155,87017000
2013-03-04,20.1325,20.571,20.125,20.5375,111027400
2013-03-05,20.725,21.004,20.7225,20.965,161769360
2013-03-06,21.026,21.1,20.72,20.7845,114937920
2013-03-07,20.8515,20.9155,20.7395,20.815,82141520
2013-03-08,20.8625,20.873,20.626,20.788,116477320
2013-03-11,20.792,20.9925,20.7875,20.8705,63827120
2013-03-12,20.768,20.797,20.592,20.69,80359160
2013-03-13,20.6975,20.767,20.558,20.633,65656000
2013-03-14,20.654,20.675,20.435,20.5385,66044440
2013-03-15,20.4625,20.5075,20.3335,20.3575,123991640
