Date,Open,High,Low,Close,Volume
2013-01-02,13.603,13.687,12.956,13.144,19432784
2013-01-03,13.143,13.989,13.076,13.799,27917162
2013-01-04,13.791,13.959,13.649,13.711,17761926
2013-01-07,13.77,14.536,13.731,14.171,45558723
2013-01-08,14.287,14.427,13.829,13.88,24719142
2013-01-09,13.886,13.993,13.507,13.701,20223679
2013-01-10,13.796,14.274,13.671,14,26123727
2013-01-11,14.017,14.56,14,14.47,29851059
2013-01-14,14.399,14.929,14.366,14.777,23473541
2013-01-15,14.717,14.909,14.436,14.527,17073805
2013-01-16,14.546,14.614,13.823,13.926,28039011
2013-01-17,14.013,14.086,13.679,13.957,16221086
2013-01-18,14.34,14.563,14.097,14.167,36006558
2013-01-22,14.236,14.236,13.799,13.973,22778854
2013-01-23,13.876,14.833,13.86,14.751,73570287
2013-01-24,20.57,21.31,19.946,20.98,118720210
2013-01-25,20.81,24.669,20.801,24.223,191398550
2013-01-28,24.644,25.321,22.97,23.159,109129594
2013-01-29,22.591,24.269,22.376,24.16,59565835
2013-01-30,24.784,25.071,23.237,23.957,48067866
2013-01-31,23.871,24.143,22.903,23.606,35612353
2013-02-01,24.294,24.714,23.411,23.543,50376186
2013-02-04,23.254,25.019,23.254,24.963,50910986
2013-02-05,24.626,25.413,24.429,24.913,57070713
2013-02-06,25.027,26.479,24.936,26.344,67207938
2013-02-07,26.536,26.983,25.506,25.994,53089344
2013-02-08,25.963,26.28,25.716,25.853,25665570
2013-02-11,25.569,26.007,24.971,25.413,29342173
2013-02-12,25.809,26.223,25.101,25.421,34399260
2013-02-13,25.843,26.629,25.666,26.61,40872461
2013-02-14,26.756,27.121,26.384,26.771,31990035
2013-02-15,26.939,27.143,26.609,27.073,26992056
2013-02-19,27.286,28.167,27.164,28.064,34318543
2013-02-20,28.226,28.231,26.643,26.731,35006650
2013-02-21,26.571,27.457,26.071,26.736,36833720
2013-02-22,26.246,26.256,25.49,25.694,38896235
2013-02-25,25.856,26.729,25.064,25.617,52166310
2013-02-26,25.8,26.46,25.086,26.299,33894126
2013-02-27,26.226,26.571,25.794,26.331,22634766
2013-02-28,26.259,27.447,26.216,26.869,34293133
2013-03-01,26.73,27.191,26.601,27.053,21450856
2013-03-04,26.954,27.154,25.237,25.887,47831903
2013-03-05,26.381,26.473,25.44,25.961,32339426
2013-03-06,26.021,26.423,25.654,26.134,17449719
2013-03-07,25.714,26.071,25.166,25.937,28697844
2013-03-08,26.064,26.55,25.816,26.386,23516332
2013-03-11,26.286,26.36,25.573,25.779,21023037
2013-03-12,25.623,26.31,25.607,26.016,21160972
2013-03-13,26.771,27.884,26.679,27.48,53897900
2013-03-14,27.527,27.527,26.724,26.91,28483287
2013-03-15,27.036,27.141,26.364,26.407,20673590
2013-03-18,25.911,26.681,25.793,26.513,18083310
2013-03-19,26.571,26.679,25.607,25.91,19881974
2013-03-20,26.1,26.264,25.776,26.15,11139660
2013-03-21,26.043,26.771,25.996,25.999,18807229
2013-03-22,26.157,26.266,25.643,25.9,14331709
2013-03-25,26.061,26.406,25.681,25.827,15032682
2013-03-26,26.286,27.52,26.229,27.23,46825373
2013-03-27,27.091,28.151,26.904,27.177,40485676
2013-03-28,27.25,27.557,26.943,27.04,19595457
2013-04-01,27.286,27.357,25.924,26.061,22957585
2013-04-02,26.271,26.454,25.157,25.241,32283853
2013-04-03,25.293,25.476,23.466,24.249,75370771
2013-04-04,23.91,24.304,23.401,23.813,34460034
2013-04-05,23.364,24.357,23.219,23.523,32515651
2013-04-08,23.69,23.757,22.714,23.294,31748213
2013-04-09,23.356,24.481,23.15,24.194,34059431
2013-04-10,24,24.207,23.559,23.724,29720523
2013-04-11,24.119,24.771,24.117,24.716,33002249
2013-04-12,25.284,25.377,24.457,24.743,37805908
2013-04-15,25.08,26.05,24.971,25.214,46535510
2013-04-16,25,25.39,24.61,25.121,29720145
2013-04-17,24.906,25.341,24.039,24.194,27547149
2013-04-18,24.429,24.557,23.114,23.403,23121644
2013-04-19,23.643,24.167,23.29,23.339,20164102
2013-04-22,23.771,25.214,23.674,24.91,84486241
2013-04-23,30.803,31.34,29.93,30.999,114809863
2013-04-24,31.05,32.043,30.46,30.96,46909100
2013-04-25,30.997,31.256,30.467,30.536,29278473
2013-04-26,31,31.019,30.36,30.793,21794752
2013-04-29,30.944,31.104,30.287,30.716,20788607
2013-04-30,30.657,31.393,30.606,30.867,25076919
2013-05-01,30.846,31.056,30.236,30.416,18621589
2013-05-02,30.463,30.779,30.027,30.641,18328499
2013-05-03,30.826,31.176,30.386,30.493,15586620
2013-05-06,29.947,30.35,29.146,30.099,32696321
