Date,Open,High,Low,Close,Volume
2013-01-02,162.918,164.65,161.469,164.582,1230154.889086
2013-01-03,164.984,167.068,164.112,165.022,770783.39861017
2013-01-04,164.768,169.289,164.758,168.643,1040907.2067474
2013-01-07,168.34,168.86,166.5,168.292,933709.5596129
2013-01-08,167.871,168.185,165.58,165.736,814993.5011311
2013-01-09,166.452,167.949,165.708,166.138,885603.79428664
2013-01-10,167.097,170.171,166.921,169.211,1072241.0862587
2013-01-11,168.957,171.159,168.076,170.944,1064996.3590223
2013-01-14,171.13,173.636,170.22,171.834,1123938.0539875
2013-01-15,172.774,172.804,170.621,172.687,824605.45908352
2013-01-16,172.05,173.255,171.257,171.884,980160.20462847
2013-01-17,176.944,181.359,175.603,179.44,2226159.2948121
2013-01-18,180.076,180.987,178.882,180.918,1842727.1762205
2013-01-22,181.095,183.335,181.035,183.286,1469893.9576926
2013-01-23,183.541,184.57,181.877,182.523,1148559.5011277
2013-01-24,183.551,184.433,181.446,182.807,1296504.7799604
2013-01-25,183.727,183.903,182.425,182.875,1397172.8753012
2013-01-28,182.239,182.807,180.35,181.672,1182044.0153638
2013-01-29,181.887,184.119,181.085,184.119,1136607.8977978
2013-01-30,183.903,184.423,182.611,183.609,961587.09837667
2013-01-31,183.091,184.52,182.131,182.768,901587.96543519
2013-02-01,181.496,183.942,180.987,183.228,1321141.5522887
2013-02-04,179.577,182.748,179.166,181.369,1249977.5090044
2013-02-05,182.083,185.254,181.78,184.744,1070832.1906362
2013-02-06,183.746,184.804,183.512,184.725,739082.73626455
2013-02-07,184.47,184.725,181.436,183.159,650718.72357892
2013-02-08,183.022,184.627,182.347,184.206,713918.77746695
2013-02-11,184.216,185.567,183.541,185.215,1204745.7272794
2013-02-12,184.843,186.429,184.667,184.744,1415487.4967144
2013-02-13,185.821,187.985,185.45,187.564,1274667.4086513
2013-02-14,187.554,190.011,187.437,189.943,1157614.6439139
2013-02-15,190.832,191.039,187.447,187.925,1294117.1156603
2013-02-19,188.307,189.776,187.671,188.797,1300078.6138164
2013-02-20,188.376,188.699,184.843,184.941,958257.44585043
2013-02-21,184.206,184.47,182.004,182.728,1234711.5783363
2013-02-22,184.119,186.321,184.119,186.311,1081599.6677685
2013-02-25,187.711,188.474,182.954,182.954,1025968.2134246
2013-02-26,184.167,185.019,181.26,182.66,1133508.1230924
2013-02-27,182.553,186.908,181.809,186.468,672688.91318444
2013-02-28,186.36,187.26,185.293,185.45,731618.34799921
2013-03-01,184.206,184.206,180.83,183.169,1081073.5029784
2013-03-04,182.738,186.722,182.533,186.624,890409.77326284
2013-03-05,189.042,190.558,185.597,190.363,1326694.378763
2013-03-06,191.43,194.719,191.43,194.396,1434994.4177588
2013-03-07,195.061,196.059,193.387,193.515,987837.10216827
2013-03-08,194.797,195.511,192.731,193.378,747382.85811888
2013-03-11,193.378,193.495,191.87,193.094,725703.84708654
2013-03-12,193.241,194.944,192.938,194.307,1302459.1263619
2013-03-13,194.983,197.831,194.347,197.636,997285.59144803
2013-03-14,198.535,200.768,197.92,199.407,1241946.0887808
2013-03-15,198.692,200.033,198.047,199.994,1261626.6952899
2013-03-18,197.92,199.809,197.41,198.859,576746.08416261
2013-03-19,198.702,199.662,195.257,197.205,725753.90936753
2013-03-20,198.859,202.187,198.859,201.492,969365.14215768
2013-03-21,199.593,201.863,196.902,197.049,1335163.077686
2013-03-22,197.489,198.222,196.363,197.166,889553.60608979
2013-03-25,198.624,200.444,195.845,196.167,1095432.1825131
2013-03-26,196.892,201.482,196.304,201.296,816393.20164076
2013-03-27,200.367,200.641,198.526,199.848,449134.26485049
2013-03-28,200.464,201.472,198.869,200.103,703076.71775276
2013-04-01,199.799,200.083,196.667,197.019,500150.7942293
2013-04-02,197.39,200.855,197.224,200.524,827010.49193003
2013-04-03,200.817,200.944,192.664,193.349,1133021.8037913
2013-04-04,193.339,195.638,192.868,195.6,1035914.2604768
2013-04-05,192.564,193.182,187.74,191.45,1710741.5482356
2013-04-08,191.185,194.288,190.128,194.269,603758.26064049
2013-04-09,196.226,199.084,194.513,197.87,976106.1815465
2013-04-10,198.996,203.117,198.585,203.117,843864.11208129
2013-04-11,203.577,206.856,203.577,205.76,944550.59764788
2013-04-12,204.839,206.376,204.154,204.966,541859.82605853
2013-04-15,202.529,204.448,197.694,197.743,1206365.088818
2013-04-16,200.768,200.875,195.874,200.387,1334979.1754293
2013-04-17,198.242,198.996,193.985,195.521,1109945.1356077
2013-04-18,195.501,195.668,189.717,191.048,1299830.3457697
2013-04-19,191.979,195.061,191.743,194.846,946731.88274869
2013-04-22,195.708,195.952,192.693,195.11,777420.22672018
2013-04-23,196.686,202.5,196.256,202.109,1265385.4530819
2013-04-24,202.304,203.087,200.688,201.472,737438.85442513
2013-04-25,202.431,205.907,201.913,205.27,970410.31998351
2013-04-26,204.555,206.121,204.243,205.456,617722.57200248
2013-04-29,205.769,209.332,205.064,208.911,780711.05543666
2013-04-30,209.116,210.144,207.061,207.579,1220350.8554432
2013-05-01,206.689,207.579,203.057,203.234,1018474.1964624
2013-05-02,203.822,205.153,203.264,204.36,861081.45002921
2013-05-03,206.963,211.545,206.503,211.328,1072518.9830023
2013-05-06,211.505,214.343,210.497,213.707,846454.06886374
2013-05-07,213.864,214.833,212.21,214.608,554278.33678468
