Date,Open,High,Low,Close,Volume
2013-01-02,18.1733,18.6333,16.83,17.0767,4175727
2013-01-03,17.2733,17.2733,16.2833,16.45,4004022
2013-01-04,16.6133,16.7167,16.0033,16.0833,3890106
2013-01-07,16.13,16.3333,15.6667,15.7433,3566709
2013-01-08,15.8667,16.2833,15.6667,15.8767,2555115
2013-01-09,16.0933,16.7667,16.0933,16.66,2702994
2013-01-10,16.7267,17.2233,16.4433,16.8667,2377332
2013-01-11,16.8867,17.7033,16.8867,17.6033,3812823
2013-01-14,17.51,17.8333,17.3333,17.45,3788406
2013-01-15,17.3267,18.0767,17.2833,18.0233,2797962
2013-01-16,18.14,18.6,17.7133,18.25,3672501
2013-01-17,18.32,18.32,17.8367,18.1633,1965294
2013-01-18,18.7733,18.8967,18.3333,18.4533,4088514
2013-01-22,18.4633,18.5933,18.1233,18.4167,1375233
2013-01-23,18.1333,18.7367,18.0967,18.6333,2222700
2013-01-24,18.5733,18.75,18.4333,18.6733,1660518
2013-01-25,18.6733,18.9667,18.5,18.9067,2528730
2013-01-28,18.87,19.2167,18.3067,19.1467,3313239
2013-01-29,19.0733,19.09,18.5933,18.94,1611909
2013-01-30,18.8567,18.9167,17.8333,17.9767,3305730
2013-01-31,18.41,18.5933,17.85,18.4533,2659089
2013-02-01,18.5633,18.7,17.97,18.1367,3494088
2013-02-04,18.4067,18.4067,17.6767,17.7833,1072176
2013-02-05,17.8033,18.07,17.6167,17.9433,1316448
2013-02-06,17.9333,18.1367,17.68,18.0467,1278177
2013-02-07,18.01,18.1233,17.8,18.0533,1314897
2013-02-08,18.02,18.3567,17.9567,18.3533,1589109
2013-02-11,18.35,18.4833,18.2467,18.3233,806904
2013-02-12,18.23,18.98,18.23,18.9033,2275455
2013-02-13,18.8333,18.8867,18.28,18.3867,1954815
2013-02-14,18.3333,18.6667,18.2667,18.5767,1086006
2013-02-15,18.6933,18.7967,18.3367,18.4,833487
2013-02-19,18.53,18.8167,18.44,18.5,956730
2013-02-20,18.55,18.6467,18.1967,18.2667,1329510
2013-02-21,18.3,18.38,17.9267,18.2067,1699554
2013-02-22,18.5133,19.1567,18.3167,19.0967,3500418
2013-02-25,19.29,19.3833,18.68,19.0767,1807335
2013-02-26,19,19.14,18.6733,18.9967,2356254
2013-02-27,18.95,19.9333,18.6167,19.3067,4839924
2013-02-28,19.32,20.3833,19,20.3767,7261446
2013-03-01,19.5167,20.73,19.14,19.5167,9651315
2013-03-04,18.7533,19.15,18.2867,18.6667,14512428
2013-03-05,18.7033,19.0167,18.54,18.9467,5078619
2013-03-06,18.9867,19.12,18.7,18.7933,3279930
2013-03-07,19.0333,19.0667,18.63,18.7967,3517131
2013-03-08,18.8133,18.83,18.4233,18.65,3533370
2013-03-11,18.59,18.7333,18.3333,18.5833,3005868
2013-03-12,18.4467,18.83,18.3667,18.6867,4850682
2013-03-13,18.7767,18.8767,18.55,18.8,3660300
2013-03-14,19.1167,19.1167,18.7033,18.86,3571221
2013-03-15,18.75,18.83,18.52,18.7633,2767119
2013-03-18,18.6333,19.0333,18.5267,18.7033,2550891
2013-03-19,18.6767,18.8567,18.0567,18.66,3558615
2013-03-20,18.6033,18.8333,18.5067,18.6433,1412562
2013-03-21,18.6,19.0667,18.4333,18.5467,4183716
2013-03-22,18.5767,18.81,18.0333,18.1733,4595049
2013-03-25,18.23,18.3467,17.85,18.18,3394398
2013-03-26,18.2433,18.2433,17.8633,17.9933,3435183
2013-03-27,17.8933,19.0333,17.7667,18.84,5819964
2013-03-28,18.8133,19.0567,18.69,18.8667,4071885
2013-04-01,18.81,18.8333,18.0667,18.4467,2528598
2013-04-02,18.4167,18.5033,18.1333,18.2933,1297254
2013-04-03,18.25,18.25,17.6733,17.8833,2099862
2013-04-04,17.6733,17.8767,17.3533,17.6767,2473098
2013-04-05,17.25,17.88,17.25,17.67,2635932
2013-04-08,17.5767,17.7133,17.1933,17.2667,3177012
2013-04-09,17.3333,17.85,17.25,17.65,1943541
2013-04-10,17.7367,18.3367,17.6767,18.2367,2551374
2013-04-11,17.7267,18.1667,17.4833,18.0533,3264405
2013-04-12,17.9233,18.0033,17.5233,17.7167,1547544
2013-04-15,17.6233,17.6267,17.0733,17.2367,2344587
2013-04-16,17.34,17.5533,17.1367,17.5167,1941984
2013-04-17,17.2967,17.44,17.1767,17.3133,2372637
2013-04-18,17.3,17.42,16.7633,17.1667,1975710
2013-04-19,17.2067,17.2067,16.88,16.9033,2663163
2013-04-22,17.0467,17.2467,16.8833,17.1267,1577922
2013-04-23,17.23,17.8933,17.1633,17.7033,1993944
2013-04-24,17.5833,18.12,17.5833,18.0033,2717736
2013-04-25,17.9967,18.27,17.8867,18.0533,2213295
2013-04-26,17.9433,17.9433,17.7233,17.87,2367300
2013-04-29,17.9133,18.1667,17.9133,18.0233,989748
2013-04-30,18,18.15,17.93,18.0333,1517241
2013-05-01,17.9633,18.0233,17.2267,17.2267,4388697
2013-05-02,17.36,17.7133,17.1833,17.6,2714181
2013-05-03,17.7333,18.1333,17.7333,18.13,1749402
2013-05-06,18.1067,18.2567,17.8567,17.96,2463636
2013-05-07,17.9533,18.0333,17.44,17.5733,2566677
2013-05-08,17.6167,17.6167,16.4667,16.5533,7389660
2013-05-09,17.1233,17.31,16.5233,16.57,3989424
2013-05-10,16.61,16.85,16.5267,16.5767,2433897
2013-05-13,16.49,16.8933,16.49,16.76,1409880
2013-05-14,16.8,17.43,16.7767,17.42,2311278
2013-05-15,17.2867,17.64,17.2867,17.5433,2152629
2013-05-16,18.3333,18.7433,17.81,18.03,4535088
2013-05-17,18.2433,18.8633,18.16,18.81,2952804
2013-05-20,18.8333,18.8667,18.0267,18.09,1935051
2013-05-21,18.0233,18.0767,17.5133,17.5433,2080776
2013-05-22,17.66,17.66,17.15,17.4033,2860425
2013-05-23,17.1733,17.5933,17.1667,17.37,1454901
2013-05-24,17.37,17.58,17.2633,17.46,1038039
2013-05-28,17.7133,17.97,17.6667,17.9267,1097106
2013-05-29,18.2833,18.4133,17.76,18.2533,3448107
2013-05-30,18.3333,18.4133,18.0867,18.13,6977958
2013-05-31,15.8667,16.82,15.6667,16.1733,16657200
2013-06-03,16.2333,16.2333,15.1233,15.2767,6921447
2013-06-04,15.2733,15.4567,14.5,14.6867,5745342
2013-06-05,14.5667,14.9433,14.5033,14.8033,4966140
2013-06-06,14.7367,15.2767,14.7267,15,3398958
2013-06-07,15.07,15.4233,14.8567,15.4,4300128
2013-06-10,15.3667,15.4967,15.0433,15.4867,3522657
2013-06-11,15.2033,15.75,15.1767,15.5933,3467913
2013-06-12,15.6633,15.7667,15.0533,15.1967,2466741
2013-06-13,15.0967,15.25,15,15.07,1373121
2013-06-14,15.01,15.0133,14.35,14.3733,4819983
2013-06-17,14.5333,14.7533,14.3333,14.3833,4177407
2013-06-18,14.0367,14.32,13.8367,13.8667,4376472
2013-06-19,13.8433,14.2467,13.67,14.02,3974775
2013-06-20,13.7867,14.1133,13.69,13.9533,4077948
2013-06-21,14.0467,14.1633,13.5033,13.6833,3728034
2013-06-24,13.4067,13.5533,13.0267,13.1867,3398019
2013-06-25,13.2,13.9833,13.1833,13.8567,3662037
2013-06-26,13.8167,14.25,13.79,14.0267,3255855
2013-06-27,14.17,14.85,14.14,14.7933,4190523
2013-06-28,14.6633,14.6667,13.89,14.0533,8101599
2013-07-01,14.0767,14.5467,13.97,14.0733,2479683
2013-07-02,14.0267,14.1667,13.6733,13.7167,2471211
2013-07-03,13.68,14.3967,13.6333,14.3,1751349
2013-07-05,14.2867,14.2933,14.0067,14.0967,1390188
