observation_date,OB000334Q
2013-01-01,0.9
2013-04-01,1.7
2013-07-01,2.5
2013-10-01,3.3
2014-01-01,1.9
2014-04-01,2.6
2014-07-01,2.9
2014-10-01,2.7
2015-01-01,3.6
2015-04-01,3.6
2015-07-01,2.7
2015-10-01,1.9
2016-01-01,1.7
2016-04-01,1.5
2016-07-01,1.6
2016-10-01,2.4
2017-01-01,1.2
2017-04-01,2.6
2017-07-01,2.7
2017-10-01,3.2
2018-01-01,4.1
2018-04-01,3.0
2018-07-01,2.9
2018-10-01,2.0
2019-01-01,1.7
2019-04-01,2.4
2019-07-01,2.7
2019-10-01,3.5
2020-01-01,1.5
2020-04-01,-7.3
2020-07-01,-1.9
2020-10-01,-1.0
2021-01-01,1.7
2021-04-01,12.1
2021-07-01,5.3
2021-10-01,5.5
2022-01-01,4.0
2022-04-01,2.3
2022-07-01,2.5
2022-10-01,1.4
2023-01-01,2.5
2023-04-01,3.0
2023-07-01,3.2
2023-10-01,2.9
2024-01-01,3.1
2024-04-01,3.0
2024-07-01,2.5
