,Entry_Date,Symbol,Entry_Price,Quantity,CostBasis,Exit_Date,Exit_Price,Net_Proceeds,Cap_Total
18,2019-12-30,ULTA,253.18,3949.0,999807.8200000001,2020-01-06,250.95,991001.5499999999,1092280.736230039
22,2019-12-31,TSLA,27.0,35918.0,969786.0,2020-01-07,31.2707,1123181.0026,1142955.3528200395
23,2019-12-31,ULTA,251.29,3859.0,969728.11,2020-01-07,253.09,976674.31,1142955.3528200395
28,2020-01-06,HD,202.079,5195.0,1049800.405,2020-01-10,209.301,1087318.6949999998,1272725.77040024
26,2020-01-08,TSLA,31.58,36192.0,1142943.3599999999,2020-01-08,32.8093,1187434.1856,1274195.4334226402
42,2020-01-16,MSCI,265.787,4768.0,1267272.416,2020-01-23,272.336,1298498.048,1670007.1971621634
37,2020-01-16,MSFT,159.776,7932.0,1267343.232,2020-01-21,161.87,1283952.84,1571340.8757546404
36,2020-01-16,TSLA,32.9167,38503.0,1267391.7001,2020-01-21,36.48,1404589.44,1571340.8757546404
39,2020-01-17,TSLA,33.84,39918.0,1350825.12,2020-01-21,36.48,1456208.64,1571340.8757546404
40,2020-01-21,TSLA,35.35,38112.0,1347259.2,2020-01-21,36.48,1390325.7599999998,1571340.8757546404
45,2020-01-23,AMZN,94.2555,17696.0,1667945.328,2020-01-23,94.229,1667476.384,1670007.1971621634
46,2020-01-23,BAC,31.8313,52402.0,1668023.7826,2020-01-23,31.8588,1669464.8376,1670007.1971621634
43,2020-01-23,IBM,124.293,13420.0,1668012.06,2020-01-23,123.142,1652565.64,1670007.1971621634
44,2020-01-23,TSLA,37.6167,44342.0,1667999.7114000001,2020-01-23,38.1467,1691500.9714000002,1670007.1971621634
55,2020-01-27,ULTA,267.36,5671.0,1516198.56,2020-01-30,274.49,1556632.79,1632106.1135820458
56,2020-01-28,AMZN,92.025,16851.0,1550713.2750000001,2020-01-30,93.534,1576141.4340000001,1632106.1135820458
57,2020-01-28,MSFT,159.239,9738.0,1550669.382,2020-01-30,167.976,1635750.288,1632106.1135820458
58,2020-01-29,AMZN,93.2,16899.0,1574986.8,2020-01-30,93.534,1580631.066,1632106.1135820458
62,2020-02-03,MSCI,280.214,6441.0,1804858.374,2020-02-04,293.787,1892282.0669999998,1963206.5119826682
70,2020-02-03,NVDA,5.86942,307513.0,1804922.95246,2020-02-07,6.26494,1926550.49422,2080751.8445778685
64,2020-02-04,MSCI,290.136,6448.0,1870796.928,2020-02-04,293.787,1894338.576,1963206.5119826682
73,2020-02-04,NVDA,6.12681,305366.0,1870919.46246,2020-02-10,6.54816,1999585.42656,2349634.8243618147
72,2020-02-06,TSLA,46.66,41511.0,1936903.2599999998,2020-02-07,49.87,2070153.5699999998,2080751.8445778685
77,2020-02-20,EA,107.427,22202.0,2385094.254,2020-02-21,106.74,2369841.48,2330866.695788592
80,2020-02-20,HD,227.486,10484.0,2384963.224,2020-02-24,223.756,2345857.904,2208480.409742214
81,2020-02-20,VZ,51.0092,46758.0,2385088.1736,2020-02-24,50.9218,2381001.5244,2208480.409742214
84,2020-05-26,OKE,30.9927,70102.0,2172650.2554,2020-05-26,30.8609,2163410.8118000003,2152560.4907810763
82,2020-05-26,PRU,52.5887,41314.0,2172649.5518,2020-05-26,53.4451,2208030.8614,2152560.4907810763
83,2020-05-26,XOM,39.687,54744.0,2172625.128,2020-05-26,39.8338,2180661.5472,2152560.4907810763
100,2020-05-28,AAPL,77.2505,28058.0,2167494.529,2020-06-03,79.286,2224606.588,2471115.386452623
96,2020-05-28,AMD,52.25,41484.0,2167539.0,2020-06-01,53.63,2224786.92,2555153.4485003455
99,2020-05-28,AMZN,119.216,18181.0,2167466.096,2020-06-03,123.92,2252989.52,2471115.386452623
94,2020-05-28,TSLA,54.2333,39967.0,2167542.3011,2020-06-01,59.8733,2392956.1811,2555153.4485003455
102,2020-06-10,AMZN,132.25,18384.0,2431284.0,2020-06-10,132.372,2433526.848,2408123.078188024
101,2020-06-10,NKE,100.71,24142.0,2431340.82,2020-06-10,99.8565,2410735.623,2408123.078188024
104,2020-06-17,TSLA,65.8467,34563.0,2275859.4921,2020-06-18,66.93,2313301.5900000003,2270524.571834024
113,2020-06-18,AMZN,132.35,16872.0,2233009.1999999997,2020-06-23,138.22,2332047.84,2402225.352460522
107,2020-06-18,BKNG,1622.4,1376.0,2232422.4,2020-06-18,1628.35,2240609.6,2270524.571834024
105,2020-06-18,TSLA,66.8667,33395.0,2233013.4464999996,2020-06-18,66.93,2235127.35,2270524.571834024
115,2020-06-22,AMZN,134.225,16164.0,2169612.9,2020-06-23,138.22,2234188.08,2402225.352460522
116,2020-06-22,BKNG,1609.74,1347.0,2168319.78,2020-06-23,1677.1,2259053.6999999997,2402225.352460522
114,2020-06-22,TSLA,66.6633,32547.0,2169690.4251,2020-06-23,66.7867,2173706.7249,2402225.352460522
117,2020-06-23,TSLA,66.5933,33628.0,2239399.4924,2020-06-23,66.7867,2245903.1476,2402225.352460522
118,2020-06-25,AMZN,136.978,15598.0,2136582.844,2020-06-25,137.729,2148296.9420000003,2281637.8414637744
121,2020-06-25,FTNT,26.93,79341.0,2136653.13,2020-06-25,27.166,2155377.606,2281637.8414637744
120,2020-06-25,MSCI,322.254,6630.0,2136544.02,2020-06-25,335.183,2222263.29,2281637.8414637744
129,2020-06-25,PANW,74.3333,28744.0,2136636.3751999997,2020-07-01,76.4533,2197573.6552,2106095.913295455
126,2020-06-29,JPM,86.6681,24068.0,2085927.8307999999,2020-06-30,87.2792,2100635.7856,2193611.4290928543
127,2020-06-30,GM,24.9773,83728.0,2091299.3743999999,2020-06-30,25.1864,2108806.8992,2193611.4290928543
130,2020-06-30,GS,183.493,11397.0,2091269.721,2020-07-01,187.03,2131580.91,2106095.913295455
131,2020-07-08,HAL,12.0837,171803.0,2076015.9111000001,2020-07-08,12.1321,2084331.1763,2082264.0377627031
132,2020-07-09,AMD,53.52,38906.0,2082249.12,2020-07-09,57.255,2227563.0300000003,2135998.341564849
133,2020-07-14,AMD,53.3,38535.0,2053915.5,2020-07-14,54.72,2108635.2,2106625.0732768495
137,2020-07-16,AMD,54.68,37882.0,2071387.76,2020-07-20,57.46,2176699.72,2374569.8246382484
138,2020-07-17,AMD,55.31,37578.0,2078439.1800000002,2020-07-20,57.46,2159231.88,2374569.8246382484
139,2020-07-20,AAPL,94.0518,22017.0,2070738.4806,2020-07-20,95.9461,2112445.2837,2374569.8246382484
140,2020-07-20,AMD,55.23,37493.0,2070738.39,2020-07-20,57.46,2154347.7800000003,2374569.8246382484
141,2020-07-22,AAPL,94.3215,23295.0,2197219.3425,2020-07-22,94.8874,2210401.983,2339458.574658509
142,2020-07-22,AMD,57.07,38500.0,2197195.0,2020-07-22,61.79,2378915.0,2339458.574658509
144,2020-07-23,WMB,16.6549,140466.0,2339447.1834,2020-07-24,16.5237,2321018.0442000004,2264117.5645635435
146,2020-07-24,AMD,64.18,33043.0,2120699.74,2020-07-24,69.4,2293184.2,2264117.5645635435
153,2020-07-24,DIS,115.7,18329.0,2120665.3000000003,2020-07-29,115.61,2119015.69,2021798.1403331254
158,2020-07-27,DIS,117.2,18329.0,2148158.8000000003,2020-07-31,116.94,2143393.26,1977306.2039811248
148,2020-07-27,META,231.46,9781.0,2263910.2600000002,2020-07-27,233.5,2283863.5,2132505.5891744457
160,2020-07-28,NKE,94.8036,22493.0,2132417.3748,2020-08-03,96.1513,2162731.1909000003,2027045.5068333256
161,2020-08-03,TSLA,96.6133,20466.0,1977287.7977999998,2020-08-03,99.0,2026134.0,2027045.5068333256
173,2020-08-04,GM,25.7538,78708.0,2027030.0903999999,2020-08-10,27.8544,2192364.1152,2061749.5443710089
169,2020-08-05,AMZN,157.188,12225.0,1921623.2999999998,2020-08-06,161.25,1971281.25,2056281.662678061
175,2020-08-05,GM,26.0823,73678.0,1921691.6994,2020-08-11,28.3919,2091858.4082,2050788.3062111293
168,2020-08-05,TSLA,99.5333,19307.0,1921689.4231,2020-08-06,99.3067,1917314.4569,2056281.662678061
191,2020-08-12,SBUX,76.118,26942.0,2050771.156,2020-08-18,75.5467,2035379.1914000001,2227073.9803556176
197,2020-08-13,CRM,193.32,10505.0,2030826.5999999999,2020-08-19,205.11,2154680.5500000003,2176435.520846066
196,2020-08-13,META,261.55,7764.0,2030674.2000000002,2020-08-19,262.59,2038748.7599999998,2176435.520846066
194,2020-08-13,SBUX,75.479,26906.0,2030837.974,2020-08-18,75.5467,2032659.5102000001,2227073.9803556176
